Artist Name,Album Name,Year of Release,Length (minutes),Artist Type,Genre,Female,Pop,Electronic,Experimental,Rock,My Score,Allmusic Score,musicOMH,Pitchfork,The Guardian,Metacritic
Adele,19,2008,43.68,Female solo,Pop,1,1,0,0,0,58,80,70,,40,68
Adele,21,2011,48.2,Female solo,Pop,1,1,0,0,0,73,80,90,,80,76
AlunaGeorge,Body Music,2013,50.37,Group,Pop,0,1,0,0,0,71,80,70,76,80,73
Amy Winehouse,Frank,2007,58.8,Female solo,R&B,1,0,0,0,0,73,80,100,49,80,78
Amy Winehouse,Back to Black,2006,34.93,Female solo,Pop,1,1,0,0,0,100,80,80,64,90,81
Amy Winehouse,Lioness: Hidden Treasures,2011,45.22,Female solo,Pop,1,1,0,0,0,67,80,,63,60,65
Animal Collective,Merriweather Post Pavilion,2009,54.75,Group,Experimental,0,0,0,1,0,36,90,90,96,80,89
Annie,Don't Stop,2009,42.03,Female solo,Pop,1,1,0,0,0,58,70,90,72,,77
Anohni,Hopelessness,2016,41.66,Female solo,Electronic,1,0,1,0,0,54,60,70,90,100,83
Bat for Lashes,Two Suns,2009,45.13,Female solo,Experimental,1,0,0,1,0,81,70,80,85,80,76
Bat for Lashes,Fur and Gold,2007,46.78,Female solo,Experimental,1,0,0,1,0,50,80,100,65,100,81
Benjamin Clementine,At Least for Now,2015,50.83,Male solo,Experimental,0,0,0,1,0,75,80,80,,60,80
Bjork,Homogenic,1997,43.58,Female solo,Experimental,1,0,0,1,0,90,100,,100,80,
Bjork,Vespertine,2001,55.5,Female solo,Experimental,1,0,0,1,0,75,90,100,72,80,88
Bjork,Medulla,2004,45.66,Female solo,Experimental,1,0,0,1,0,57,80,60,84,100,84
Bjork,Volta,2007,51.05,Female solo,Electronic,1,0,1,0,0,50,80,80,58,80,77
Bjork,Biophilia,2011,49.56,Female solo,Experimental,1,0,0,1,0,54,80,80,62,80,79
Britney Spears,In the Zone,2003,50,Female solo,Pop,1,1,0,0,0,54,60,,,80,66
Chelsea Wolfe,Pain is Beauty,2013,54.88,Female solo,Rock,1,0,0,0,1,58,80,90,80,,82
Christine and the Queens,Christine and the Queens,2015,47.05,Female solo,Pop,1,1,0,0,0,92,80,90,80,100,85
Duffy,Rockferry,2008,37.83,Female solo,Pop,1,1,0,0,0,90,80,80,,60,71
Erykah Badu,Mama's Gun,2000,71.83,Female solo,R&B,1,0,0,0,0,93,80,,94,,80
Erykah Badu,New Amerykah Part I,2008,58.86,Female solo,Experimental,1,0,0,1,0,91,100,,78,100,83
Erykah Badu,New Amerykah Part II,2010,50.6,Female solo,Experimental,1,0,0,1,0,73,80,80,80,80,83
Esperanza Spalding,Chamber Music Society,2010,56.25,Female solo,R&B,1,0,0,0,0,55,80,,,60,
Fever Ray,Fever Ray,2009,48.08,Female solo,Electronic,1,0,1,0,0,100,80,80,81,100,81
Fiona Apple,Tidal,1996,51.5,Female solo,Pop,1,1,0,0,0,50,80,,90,80,
Fiona Apple,Extraordinary Machine,2005,50.56,Female solo,Pop,1,1,0,0,0,66,90,90,78,80,84
Fiona Apple,Idler the Wheel...,2012,42.65,Female solo,Pop,1,1,0,0,0,40,90,90,90,80,89
Florence + the Machine,Lungs,2009,46.26,Female solo,Pop,1,1,0,0,0,69,80,80,72,80,79
Florence + the Machine,Ceremonials,2011,58.96,Female solo,Pop,1,1,0,0,0,75,90,80,60,60,75
Grace Jones,Island Life,1985,47.8,Female solo,Pop,1,1,0,0,0,90,80,,,,
Grimes,Visions,2012,48.06,Female solo,Electronic,1,0,1,0,0,77,80,90,85,80,80
Grimes,Art Angels,2015,49.62,Female solo,Electronic,1,0,1,0,0,86,80,80,85,60,88
GusGus,Arabian Horse,2011,59.5,Group,Electronic,0,0,1,0,0,70,80,80,,,
GusGus,Mexico,2014,49.75,Group,Electronic,0,0,1,0,0,67,70,60,,60,68
Hercules & Love Affair,Hercules & Love Affair,2008,46.5,Group,Electronic,0,0,1,0,0,50,90,100,91,60,86
Hercules & Love Affair,Feast of a Broken Heart,2014,44,Group,Electronic,0,0,1,0,0,70,80,80,76,80,73
Hercules & Love Affair,Omnion,2017,54.26,Group,Electronic,0,0,1,0,0,60,80,80,77,80,77
Holly Herndon,Platform,2015,49.6,Female solo,Experimental,1,0,0,1,0,40,80,90,87,80,81
iamamiwhoami,bounty,2013,43.7,Group,Electronic,0,0,1,0,0,78,80,80,,,71
Janelle Monae,The ArchAndroid,2010,68.58,Female solo,R&B,1,0,0,0,0,89,80,90,85,100,91
Janelle Monae,The Electric Lady,2013,67.58,Female solo,R&B,1,0,0,0,0,89,80,80,83,80,82
Jazmine Sullivan,Love Me Back,2010,40.2,Female solo,R&B,1,0,0,0,0,82,90,,,80,82
Jessie Ware,Devotion,2012,43.5,Female solo,R&B,1,0,0,0,0,54,90,80,85,80,85
Jessie Ware,Glasshouse,2017,46.32,Female solo,Pop,1,1,0,0,0,58,70,,80,60,73
Jessy Lanza,Pull My Hair Back,2013,36,Female solo,Electronic,1,0,1,0,0,89,80,90,73,80,79
Jessy Lanza,Oh No,2016,50.83,Female solo,Electronic,1,0,1,0,0,60,90,70,79,80,82
Julia Holter,Loud City Song,2013,44.47,Female solo,Experimental,1,0,0,1,0,89,90,,86,80,88
Junior Boys,Big Black Coat,2016,49.6,Group,Electronic,0,0,1,0,0,64,90,60,80,80,80
Kanye West,Yeezus,2013,40.02,Male solo,Experimental,0,0,0,1,0,10,90,90,95,80,84
Kelis,Flesh Tone,2010,37.62,Female solo,Electronic,1,0,1,0,0,100,80,90,72,80,77
Lady Gaga,The Fame Monster,2009,34.15,Female solo,Pop,1,1,0,0,0,88,80,80,78,80,78
Lady Gaga,Born This Way,2011,61.13,Female solo,Pop,1,1,0,0,0,79,70,70,,80,71
Lady Gaga,Artpop,2013,59.06,Female solo,Pop,1,1,0,0,0,7,70,40,,60,61
Lauryn Hill,The Miseducation of Lauryn Hill,1998,69.33,Female solo,R&B,1,0,0,0,0,71,100,,95,100,
Lily Allen,"It's Not Me, It's You",2009,43.46,Female solo,Pop,1,1,0,0,0,82,80,70,66,80,71
Lily Allen,"Alright, Still",2006,37.2,Female solo,Pop,1,1,0,0,0,77,70,80,83,100,79
Lorde,Melodrama,2017,40.97,Female solo,Pop,1,1,0,0,0,82,80,90,88,80,91
M.I.A.,Arular,2005,38.1,Female solo,Electronic,1,0,1,0,0,92,100,100,86,80,88
M.I.A.,Kala,2007,47.53,Female solo,Electronic,1,0,1,0,0,75,90,90,89,80,87
M.I.A.,Matangi,2013,57.27,Female solo,Electronic,1,0,1,0,0,47,60,80,65,80,78
Maxwell,BLACKsummersnight,2009,37.35,Male solo,R&B,0,0,0,0,0,71,90,,78,,85
MO,No Mythologies to Follow,2014,43.98,Female solo,Pop,1,1,0,0,0,67,,80,71,80,76
Moloko,Statues,2003,57.08,Group,Electronic,0,0,1,0,0,70,60,,,40,
Nils Frahm,Spaces,2013,76.17,Male solo,Electronic,0,0,1,0,0,73,,90,78,80,90
Peaches,Rub,2015,41.38,Female solo,Pop,1,1,0,0,0,73,,,70,80,78
Peaches,The Teaches of Peaches,2000,46.95,Female solo,Electronic,1,0,1,0,0,55,90,,75,,75
PJ Harvey,Let England Shake,2011,45.25,Female solo,Rock,1,0,0,0,1,75,80,90,88,100,86
Planningtorock,Have it All,2006,37,Female solo,Experimental,1,0,0,1,0,100,80,,76,,
Planningtorock,W,2011,51,Female solo,Experimental,1,0,0,1,0,92,80,80,67,80,72
Planningtorock,All Love's Legal,2014,42.42,Female solo,Electronic,1,0,1,0,0,33,60,60,75,60,69
Quadron,Avalanche,2013,36,Group,Pop,0,1,0,0,0,70,90,,70,60,72
Rhye,Woman,2013,35.8,Group,Pop,0,1,0,0,0,70,80,80,85,80,79
Robyn,Robyn,2004,38.2,Female solo,Pop,1,1,0,0,0,86,90,90,82,,86
Robyn,Body Talk,2010,61.66,Female solo,Pop,1,1,0,0,0,66,80,90,87,80,86
Roisin Murphy,Ruby Blue,2005,48.23,Female solo,Experimental,1,0,0,1,0,58,80,,84,60,
Roisin Murphy,Overpowered,2007,59.82,Female solo,Pop,1,1,0,0,0,73,90,80,80,100,82
Roisin Murphy,Hairless Toys,2015,50.4,Female solo,Experimental,1,0,0,1,0,75,90,80,74,80,80
Roisin Murphy,Take Her Up to Monto,2016,46.97,Female solo,Experimental,1,0,0,1,0,78,80,80,78,60,77
Sia,Colour the Small One,2004,48.3,Female solo,Pop,1,1,0,0,0,50,60,60,73,70,77
Sia,Some People Have Real Problems,2008,59.25,Female solo,Pop,1,1,0,0,0,86,90,50,48,40,64
Sia,We are Born,2010,46.38,Female solo,Pop,1,1,0,0,0,75,80,,66,,68
SIa,1000 Forms of Fear,2015,48.68,Female solo,Pop,1,1,0,0,0,75,80,90,,60,76
Sia,This is Acting,2016,46.5,Female solo,Pop,1,1,0,0,0,46,70,60,68,60,67
Soap&Skin,Lovetune for Vacuum,2009,41.65,Female solo,Experimental,1,0,0,1,0,100,,80,76,,
Soap&Skin,Narrow,2012,28.97,Female solo,Experimental,1,0,0,1,0,67,,80,,,
St .Vincent,St. Vincent,2014,40.06,Female solo,Rock,1,0,0,0,1,81,80,100,86,100,89
St. Vincent,Masseduction,2017,41.6,Female solo,Rock,1,0,0,0,1,77,90,100,76,80,88
St. Vincent,Strange Mercy,2011,40.85,Female solo,Rock,1,0,0,0,1,73,80,80,90,80,85
The Knife,Silent Shout,2006,48.6,Group,Electronic,0,0,1,0,0,72,80,60,86,80,74
The Knife,Shaking the Habitual,2013,96.33,Group,Electronic,0,0,1,0,0,23,80,90,84,60,85
The xx,xx,2009,38.56,Group,Pop,0,1,0,0,0,72,80,90,87,80,87
tUnE-yArDs,nikki nack,2014,42.4,Female solo,Experimental,1,0,0,1,0,77,90,90,81,80,83
Yeah Yeah Yeahs,It's Blitz!,2009,42.89,Group,Rock,0,0,0,0,1,70,80,90,81,80,82
Yeah Yeah Yeahs,Mosquito,2013,47.5,Group,Rock,0,0,0,0,1,64,70,90,60,80,75
Yelle,Safari Disco Club,2011,42.4,Group,Pop,0,1,0,0,0,72,80,,,,69
